x1,x2
705.405,396.116
684.859,382.881
704.122,387.165
693.056,384.033
691.021,388.255
685.927,397.105
696.702,387.332
700.297,387.566
687.238,392.092
703.39,382.858
706.772,392.892
689.435,398.27
707.9,378.281
680.902,384.523
679.94,398.743
691.757,389.005
689.956,388.47
701.977,382.583
691.844,388.68
695.547,393.792
680.983,375.929
683.715,374.834
695.628,376.866
695.044,397.88
691.848,394.822
704.651,377.347
685.057,387.42
701.969,385.778
692.907,392.364
683.392,384.223
680.576,383.098
675.908,392.45
676.25,376.365
687.741,376.645
684.686,380.55
698.617,373.044
686.649,388.739
698.819,368.751
679.788,368.18
675.632,395.249
689.645,383.129
685.531,390.665
680.586,391.047
667.462,384.531
672.558,371.469
677.3,390.562
673.946,393.104
694.101,384.852
673.073,393.33
690.604,380.18
686.372,387.175
688.087,372.293
668.923,377.353
674.953,367.738
668.324,384.678
663.386,368.93
667.249,394.88
664.416,380.513
673.057,372.554
674.111,380.514
670.652,376.292
673.571,375.502
667.565,367.926
677.484,392.951
669.584,381.961
676.862,391.021
686.314,387.755
677.755,383.933
670.367,378.463
684.887,389.958
681.022,373.199
682.949,394.505
662.515,388.009
668.867,379.313
678.872,373.819
667.455,372.722
659.434,385.636
670.989,367.3
672.657,375.755
683.749,374.911
671.09,371.658
664.339,387.665
676.03,369.409
681.291,386.472
676.689,373.469
661.981,389.608
673.188,389.538
681.127,383.248
673.204,371.236
656.763,388.16
661.651,377.154
658.193,374.024
671.555,380.938
666.658,383.718
654.775,391.047
660.827,387.421
663.928,380.093
671.25,392.729
668.991,388.859
659.109,397.313
669.066,401.809
664.353,389.819
651.267,396.341
654.981,383.826
662.878,384.243
648.573,376.583
669.541,376.953
672.57,388.444
657.617,378.742
668.422,398.627
652.961,378.414
663.963,404.342
659.801,387.487
659.063,381.374
665.846,393.616
666.951,398.969
663.827,386.014
670.666,384.277
656.347,382.238
647.78,379.202
665.311,382.965
644.864,386.795
659.001,391.792
645.587,385.897
668.792,403.647
662.092,391.507
666.542,383.39
669.525,398.559
664.521,401.698
656.122,394.441
660.144,393.951
646.195,388.205
665.389,406.309
659.474,403.522
650.835,402.164
648.151,403.519
656.965,394.515
653.64,394.898
655.023,385.735
650.648,385.475
654.622,404.491
649.558,397.143
656.501,408.81
645.797,408.863
672.235,416.869
650.401,402.762
665.661,392.665
663.038,410.835
668.038,392.457
651.931,397.287
671.14,405.878
669.764,418.674
663.322,397.779
666.726,410.426
647.73,406.37
666.207,413.694
670.055,410.83
668.91,396.858
669.989,418.831
661.475,421.115
656.215,410.19
