x1,x2
723.437,230.778
679.944,200.874
659.355,192.743
723.27,215.231
682.793,262.633
727.468,193.951
728.655,271.601
677.611,269.707
689.062,221.156
737.425,216.403
730.684,190.227
732.271,191.264
683.022,267.079
692.828,192.908
710.157,226.4
729.803,264.723
670.958,200.532
717.701,213.825
665.675,208.541
667.451,217.864
699.241,239.294
715.91,272.437
645.35,255.116
659.788,269.414
714.89,228.254
687.663,229.339
714.952,196.178
675.421,218.076
669.456,261.766
641.295,239.673
714.916,231.88
663.082,265.353
650.712,248.705
700.748,215.234
653.271,189.795
655.268,199.035
640.496,267.039
673.974,231.321
648.276,192.658
632.406,205.934
631.668,209.166
631.156,230.046
690.866,265.6
690.939,193.206
652.104,196.668
686.04,221.391
623.384,261.784
652.987,220.029
637.586,224.718
653.12,228.934
661.926,190.535
654.505,197.359
625.749,222.752
655.957,208.67
667.192,204.856
679.492,271.785
631.934,231.241
650.323,257.124
654.069,252.643
612.028,226.711
619.462,228.595
643.932,195.295
669.688,272.96
656.318,260.546
649.879,195.55
641.605,242.949
623.369,254.59
598.034,192.053
628.5,196.106
674.866,242.142
608.058,224.935
592.602,256.592
610.856,237.915
654.567,277.795
643.389,281.572
640.918,231.94
666.266,215.198
582.375,252.636
644.594,224.675
596.155,228.519
631.758,287.115
652.869,237.074
624.233,225.031
641.46,268.802
620.227,263.926
585.405,229.52
574.547,223.021
597.757,213.001
573.149,241.126
611.639,226.036
563.818,233.998
570.702,279.922
626.757,296.051
617.517,264.502
604.388,287.292
639.826,240.5
637.732,220.36
602.375,245.646
646.175,269.804
642.572,225.031
579.711,226.102
598.72,276.44
583.353,223.141
639.805,234.256
569.559,221.257
563.912,258.97
604.064,262.648
623.146,277.881
618.094,248.715
601.118,275.307
576.917,259.228
559.133,291.143
597.955,232.971
605.091,273.783
611.884,239.353
627.61,305.423
578.483,254.83
596.425,255.033
624.449,267.081
607.626,263.777
600.737,238.913
612.058,288.752
550.706,260.679
587.307,305.731
562.905,297.686
574.119,306.227
545.989,305.559
560.642,241.662
605.133,249.379
576.101,249.421
609.667,260.708
584.948,279.786
617.969,256.794
558.267,288.618
611.912,284.168
620.1,321.382
607.491,309.908
559.501,299.123
559.678,315.285
585.686,319.546
557.332,265.651
618.64,288.529
608.613,324.426
586.395,308.793
595.975,281.523
587.722,269.794
595.146,295.428
587.065,293.773
569.663,258.684
582.119,301.982
604.82,279.118
560.722,281.505
559.597,316.719
591.759,272.823
615.078,281.962
612.836,337.641
595.837,265.937
577.456,346.353
